production_budget_usd,worldwide_gross_usd
10000000,1000000
10000000,1000000
10000000,1001437
10000000,1002572859
10000000,1005840
10000000,1011054
10000000,1011535
10000000,1017003568
10000000,1019922983
10000000,1022453
10000000,1022617376
10000000,1022649
10000000,1025491110
10000000,1027044677
10000000,1027228
10000000,1032075
10000000,1033810
10000000,1036
10000000,1038812584
10000000,1045663875
10000000,1049641
10000000,1050861
10000000,1050988488
10000000,1051907
10000000,1060512
10000000,1065907
10000000,1066215812
10000000,1066555
10000000,1069318
10000000,1069454
10000000,1069818229
10000000,1075009
10000000,1075504
10000000,1079040
10000000,1080428
10000000,1083350
10000000,1084439099
10000000,1087521
10000000,1100287
10000000,1104039076
10000000,1109276
10000000,1110526981
10000000,1111615
10000000,1123790543
10000000,1126258
10000000,1131261
10000000,1134358
10000000,1140965
10000000,1141403341
10000000,1147784
10000000,1148578
10000000,1151684349
10000000,1152117
10000000,1152411
10000000,1156309
10000000,1157672
10000000,1158877
10000000,1160
10000000,1161843
10000000,1162014
10000000,1165102
10000000,1165996
10000000,1167092
10000000,1167245366
10000000,1167524
10000000,1178175
10000000,1179462
10000000,1188194
10000000,1190003
10000000,1199510
10000000,1200000
10000000,1200346
10000000,1215392272
10000000,1217
10000000,1217307
10000000,1227508
10000000,1230542
10000000,1237444462
10000000,1237615
10000000,1239174
10000000,1242
10000000,1246141
10000000,1250617
10000000,1250798
10000000,1260122363
10000000,1261792
10000000,1268346
10000000,1269705
10000000,1274234980
10000000,1278471
10000000,1290920
10000000,1297745
10000000,1299855
10000000,1305114
10000000,1308696
10000000,1310470
10000000,1320043
10000000,1322161
10000000,1324299
10000000,1333891
10000000,1336
10000000,1338
10000000,1341511219
10000000,1348750
10000000,1353296
10000000,1353824
10000000,1355079
10000000,1355728
10000000,1358
10000000,1365108
10000000,1366235
10000000,1373407
10000000,1375194
10000000,1375635
10000000,1381824
10000000,1386088
10000000,1391410
10000000,1396395
10000000,1404705868
10000000,1405032
10000000,1412799
10000000,1415656
10000000,1416046
10000000,1418304
10000000,1420418
10000000,1425707
10000000,1429453
10000000,1433319
10000000,1445140
10000000,1467278
10000000,1480089
10000000,1492895
10000000,1500000
10000000,1500000
10000000,1500711
10000000,1504960
10000000,1513388
10000000,1516748684
10000000,1519479547
10000000,1526697
10000000,1537479
10000000,1541131
10000000,1545064
10100000,1549000
10100000,1553556
10100000,1562800
10350000,1577585
10400000,1590246
10500000,1595168
10500000,1597233
10500000,1600566
10500000,1610194
10600000,1612957
10600000,1615787
10700000,1619602
10700000,1620056
10750000,1628579
10800000,1632
10800000,1635241
10800000,1638202
100000,1641788
100000,1642939
100000,1646664
100000,1647780
100000,1660865
100000,1661464
100000,1663296
100000,1671640593
100000,1673635
100000,1686429
100000,1687548
100000,1693000
100000,1695126
100000,1696765
100000,1705139
100000,1705908
100000,1711
100000,1732228
100000,1733532
100000000,1738663
100000000,1744952
100000000,1769316
100000000,1772979
100000000,1778
100000000,1779284
100000000,1788168
100000000,1788324
100000000,1807990
100000000,1821983
100000000,1822
100000000,1828400
100000000,1840248
100000000,1844228
100000000,1849392
100000000,1857458
100000000,1869928
100000000,1884251
100000000,1891936
100000000,1903952
100000000,1919197
100000000,1933829
100000000,1945420
100000000,1953732
100000000,1953882
100000000,1954202
100000000,1960521
100000000,1970268
100000000,1971479
100000000,1973945
100000000,1983596
100000000,1985292
100000000,1987
100000000,1989035
100000000,10000000
100000000,10000000
100000000,10000000
100000000,10000000
100000000,10000650
100000000,10014234
100000000,10019109
102000000,10020081
102000000,10020889
102000000,10024
102500000,10026255
103000,10037390
103000000,10039566
103000000,10051516
103000000,10062896
103300000,10066366
105000000,10070651
105000000,10097096
105000000,10106975
105000000,10108016
105000000,10137234
105000000,10143618
108000000,10155691
109000000,10157534
109000000,10158355
109000000,10166209
11000000,10172519
11000000,10176701
11000000,10192613
11000000,10206551
11000000,10212403
11000000,10229300
11000000,10237239
11000000,10243159
11000000,10317779
11000000,10319915
11000000,10341093
11000000,10359006
11000000,10364769
11000000,10386814
11000000,10392666
11000000,10393696
11000000,10397365
11000000,10400000
11000000,10400000
11000000,10412485
11000000,10419084
11000000,10426506
11000000,10431506
11000000,10447579
11000000,10462500
11000000,10468867
11000000,10473836
11000000,10508
11000000,10513979
11000000,10514
11000000,10537341
11000000,10555348
11000000,10557291
11000000,10561038
11000000,10570375
11000000,10571408
11000000,10597070
11000000,10618813
11000000,10619770
11000000,10629320
11000000,10637281
11000000,10642023
11000000,10660147
11000000,10672492
11000000,10672566
11000000,10676073
11000000,10679
11400000,10686841
11500000,10696210
11500000,10717421
11500000,10725228
11900000,10731997
11900000,10732909
11900000,10744134
110000,10751126
110000000,10763183
110000000,10763469
110000000,10765283
110000000,10770993
110000000,10803211
110000000,10827356
110000000,10828305
110000000,10834406
110000000,10845127
110000000,10849158
110000000,10876
110000000,10898293
110000000,10941801
110000000,10951153
110000000,100230832
110000000,100280
110000000,100486616
110000000,100622586
110000000,100642353
110000000,100645801
110000000,100655892
110000000,100687083
110000000,100833145
110000000,100851897
110000000,100919111
110000000,100993260
112000000,101134059
113500000,101162106
114000,101173038
115000000,101363301
115000000,101371017
115000000,101379287
115000000,101382396
115000000,101531
115000000,101564935
115000000,101636047
115000000,101740
117000000,101759490
12000,101773
12000,101857425
12000,101937062
12000000,102034104
12000000,102053581
12000000,102115888
12000000,102226631
12000000,102236596
12000000,102300000
12000000,102308900
12000000,102332135
12000000,102332848
12000000,102404019
12000000,102645
12000000,102716321
12000000,102746214
12000000,102812
12000000,102825796
12000000,102836002
12000000,102912961
12000000,102992536
12000000,103028188
12000000,103039258
12000000,103215094
12000000,103284813
12000000,103429755
12000000,103452875
12000000,103509
12000000,103683342
12000000,103735965
12000000,103787401
12000000,103880027
12000000,103891409
12000000,103962
12000000,104100903
12000000,104267443
12000000,104283753
12000000,104324083
12000000,104364680
12000000,104407366
12000000,104429625
12000000,104488383
12000000,104504817
12000000,104505362
12000000,104907746
12000000,105002056
12000000,105021488
12000000,105103783
12000000,105159085
12000000,105173042
12000000,105246941
12000000,105299638
12000000,105377
12000000,105445109
12000000,105887837
12000000,105945357
12000000,106000000
12000000,106030660
12000000,106282604
12000000,106466
12000000,106511453
12000000,106515310
12000000,106548738
12000000,106593296
12000000,107054484
12000000,107190108
12000000,107212751
12000000,107217396
12000000,107597242
12000000,107752036
12000000,107822813
12000000,107967319
12000000,108086731
12000000,108119662
12000000,108185706
12000000,108286422
12000000,108469033
12000000,108758521
12000000,108907
12000000,108981275
12000000,108996113
12000000,109144
12000000,109175673
12000000,109273197
12000000,109362966
12000000,109383
12000000,109421911
12000000,109492484
12000000,109793192
12000000,109843390
12000000,109848461
12000000,109862682
12000000,11000000
12000000,11000000
12000000,11000000
12000000,11000000
12000000,11000000
12000000,11014685
12000000,11022696
12000000,11052713
12000000,11100000
12000000,11106
12000000,11115766
12000000,11131455
12000000,11141213
12000000,11156471
12000000,11166615
12000000,11173718
12000000,11191423
12000000,11203026
12000000,11227824
12000000,11229035
12000000,11234552
12000000,11253821
12000000,11263263
12300000,11263966
12500000,11267511
12500000,11277119
12500000,11322573
12500000,11348205
12500000,11354230
12500000,11400000
12500000,11427090
12500000,11495204
12500000,11532774
12500000,11537539
12500000,11540112
12500000,11546543
12500000,11559747
12500000,11574
12500000,11578022
12500000,11599903
12500000,11603545
12500000,11614954
12500000,11633427
12500000,11634458
12500000,11642254
12500000,11732088
12500000,11738256
12600000,11744471
12700000,11744960
12800000,11745931
120000,11756922
120000,11758418
120000,11766959
120000,11768371
120000,11774
120000000,11778396
120000000,11784569
120000000,11799060
120000000,11806119
120000000,11810854
120000000,11813410
120000000,11813989
120000000,11826980
120000000,11831131
120000000,11843260
120000000,11894
120000000,11919578
120000000,11924041
120000000,11993156
120000000,110387072
120000000,110400000
120000000,110521733
123000000,110536
125000,110623265
125000,110678636
125000,110719
125000000,110989157
125000000,111300835
125000000,111448997
125000000,111534881
125000000,111600000
125000000,111854182
125000000,111859493
125000000,111946251
125000000,112006296
125000000,112036870
125000000,112214531
125000000,112610386
125000000,112798051
125000000,112914167
125000000,112964875
125000000,113169
125000000,113309743
125000000,113325743
125000000,113354449
125000000,113373764
125000000,113402302
125000000,113417762
127000000,113433
127000000,113487912
127500000,113542091
127500000,113611666
13000000,113622499
13000000,113783
13000000,113805580
13000000,113916474
13000000,114576403
13000000,114658262
13000000,114770654
13000000,114830111
13000000,114962525
13000000,114979922
13000000,115021008
13000000,115036108
13000000,115121608
13000000,115150424
13000000,115592
13000000,115592104
13000000,115879
13000000,116000000
13000000,116025023
13000000,116044347
13000000,116177695
13000000,116625798
13000000,116773317
13000000,116809717
13000000,116898028
13000000,117085297
13000000,117211892
13000000,117448157
13000000,117523786
13000000,117615211
13000000,117729621
13000000,117796
13000000,117800000
13000000,118097882
13000000,118209778
13000000,118482
13000000,118537627
13000000,118556530
13000000,118557124
13000000,118583844
13000000,118666
13000000,118729073
13000000,118888025
13000000,119114494
13000000,119180938
13000000,119295584
13000000,119452
13000000,119500000
13000000,119512771
13000000,119627047
13000000,119668350
13000000,119721296
13000000,119739110
13000000,119841
13000000,119923801
13000000,12000000
13000000,12000000
13000000,12017369
13000000,12023606
13000000,12031443
13000000,12051924
13000000,12069719
13200000,12079308
13300000,12179708
13300000,12212417
13400000,12219367
13500000,12231500
13500000,12232
13500000,12232628
13500000,12247682
13500000,12254746
13500000,12262065
13500000,12267275
13500000,12291975
13700000,12300000
13700000,12302
13900000,12309980
130000000,12335036
130000000,12342632
130000000,12345883
130000000,12372410
130000000,12376563
130000000,12397613
130000000,12398628
130000000,12405473
130000000,12412889
130000000,12413949
130000000,12419700
130000000,12444
130000000,12452601
130000000,12500000
130000000,12506188
130000000,12512317
132000000,12516222
132000000,12519804
134000,12532777
135000,12554569
135000000,12577401
135000000,12591270
135000000,12592907
135000000,12600000
135000000,12604
135000000,12624471
135000000,12636
135000000,12657377
135000000,12667
136200000,12669914
137000000,12678312
137000000,12740705
137500000,12793213
138000000,12800000
138000000,12801190
139000000,12803305
14000000,12819501
14000000,12836
14000000,12848
14000000,12850033
14000000,12900000
14000000,12900000
14000000,12905901
14000000,12923936
14000000,12930343
14000000,12931569
14000000,12947763
14000000,12961389
14000000,12967829
14000000,12996
14000000,120000000
14000000,120016
14000000,120100000
14000000,120192350
14000000,120455994
14000000,120678444
14000000,120832383
14000000,120925697
14000000,121016
14000000,121032272
14000000,121100000
14000000,121327628
14000000,121671925
14000000,121706019
14000000,121807
14000000,122071435
14000000,122079192
14000000,122133227
14000000,122213085
14000000,122244329
14000000,122519874
14000000,122529966
14000000,123327692
14000000,123407
14000000,123681790
14000000,123696741
14000000,123709460
14000000,123888320
14000000,123922370
14000000,123954323
14000000,124304264
14000000,124514011
14000000,124715863
14000000,124823094
14000000,124827316
14000000,124900000
14000000,125168734
14000000,125169
14000000,125212904
14000000,125250091
14000000,125339088
14000000,126037057
14000000,126069509
14000000,126204977
14200000,126247
14400000,126387
14500000,126425115
14500000,126539117
14500000,126549607
14500000,126646119
14600000,126931325
140000,127188
140000,127234389
140000000,127361412
140000000,127630030
140000000,127767889
140000000,127983283
140000000,127990741
140000000,128131571
140000000,128256712
140000000,128402901
140000000,128468793
140000000,128745578
140000000,128792135
140000000,128874043
142000000,128884494
144000000,128885873
145000000,128955898
145000000,129075270
145000000,129115
145000000,129262388
145000000,129319
145000000,129779728
145000000,129832389
149000000,13000000
15000,13000000
15000,13000000
15000,13000959
15000000,13007551
15000000,13019253
15000000,13024170
15000000,13038660
15000000,13052741
15000000,13061935
15000000,13075390
15000000,13099931
15000000,13129846
15000000,13134
15000000,13168809
15000000,13174426
15000000,13200000
15000000,13203044
15000000,13205411
15000000,13208023
15000000,13233220
15000000,13248444
15000000,13353855
15000000,13383747
15000000,13400000
15000000,13417292
15000000,13423176
15000000,13424365
15000000,13446115
15000000,13447998
15000000,13454474
15000000,13465
15000000,13480196
15000000,13486
15000000,13508635
15000000,13524
15000000,13555988
15000000,13558739
15000000,13593473
15000000,13596911
15000000,13601109
15000000,13636339
15000000,13644292
15000000,13680000
15000000,13684949
15000000,13711903
15000000,13719474
15000000,13722
15000000,13725032
15000000,13738574
15000000,13747234
15000000,13767816
15000000,13771817
15000000,13795053
15000000,13800000
15000000,13801755
15000000,13835130
15000000,13854000
15000000,13881317
15000000,13912289
15000000,13973532
15000000,130214162
15000000,130402010
15000000,130580730
15000000,130673154
15000000,130759651
15000000,130788243
15000000,130874
15000000,130953026
15000000,130968579
15000000,131011757
15000000,131052444
15000000,131159306
15000000,131159781
15000000,131234406
15000000,131237688
15000000,131263370
15000000,131377412
15000000,131445884
15000000,131492772
15000000,131945303
15000000,132121212
15000000,132397389
15000000,132440066
15000000,132493015
15000000,132999811
15000000,133000000
15000000,133085295
15000000,133162752
15000000,133276359
15000000,133411
15000000,133553464
15000000,133603463
15000000,133735284
15000000,133818283
15000000,133946923
15000000,134612435
15000000,134624
15000000,134639780
15000000,134993774
15000000,135015330
15000000,135436
15000000,135759694
15000000,135808837
15000000,136047317
15000000,136123083
15000000,136143605
15000000,136706683
15000000,136890774
15000000,136998907
15000000,137022245
15000000,137047376
15000000,137162560
15000000,137298489
15000000,137431619
15000000,137489730
15000000,137551594
15000000,137768975
15000000,137963328
15000000,137984788
15000000,138711
15000000,139000000
15000000,139084
15000000,139109346
15000000,139317
15000000,139359078
15000000,139474906
15000000,139700000
15000000,139716717
15000000,139801290
15000000,139840525
15000000,139877913
15000000,14000
15000000,14000000
15000000,14010363
15000000,14108518
15000000,14114000
15000000,14121177
15000000,14140402
15000000,14156753
15000000,14189810
15000000,14231669
15000000,14237880
15000000,14249005
15000000,14252830
15000000,14253760
15000000,14271297
15000000,14291999
15000000,14294842
15000000,14305540
15000000,14314407
15000000,14319195
15000000,14321070
15000000,14334401
15000000,14343976
15000000,14358033
15000000,14375181
15000000,14378353
15000000,14395874
15000000,14400000
15000000,14400000
15000000,14441158
15000000,14443
15000000,14448589
15000000,14469428
15000000,14471440
15000000,14488705
15000000,14518884
15250000,14533681
15300000,14545844
15500000,14553807
15500000,14564000
15500000,14566246
15500000,14603001
15500000,14616
15600000,14618727
150000,14623082
150000,14683763
150000,14786394
150000,14792779
150000,14805812
150000,14807531
150000,14811980
150000,14812
150000,14816379
150000,14816494
150000000,14839383
150000000,14843425
150000000,14873
150000000,14883495
150000000,14933713
150000000,14938149
150000000,14942422
150000000,14947243
150000000,14970038
150000000,14999638
150000000,140000000
150000000,140012608
150000000,140016
150000000,140122225
150000000,140428314
150000000,140428499
150000000,140556781
150000000,140619520
150000000,140845191
150000000,140894685
150000000,140900000
150000000,140949327
150000000,141189101
150000000,141200000
150000000,141205169
150000000,141247413
150000000,141267370
150000000,141475336
150000000,141484812
150000000,141600000
150000000,141661
150000000,141809235
150000000,142033509
150000000,142051255
150000000,142634358
150000000,142783718
150000000,143049560
151000000,143273
151500000,143490
152000000,143782
155000000,143985708
155000000,144110682
155000000,144529078
156000000,145238250
16000000,145382
16000000,145395745
16000000,145443360
16000000,145594548
16000000,145712897
16000000,146083
16000000,146149
16000000,146162920
16000000,146195159
16000000,146300356
16000000,146402
16000000,146590987
16000000,146595891
16000000,146850273
16000000,147080413
16000000,147142328
16000000,147299
16000000,147542381
16000000,147985373
16000000,148095566
16000000,148168459
16000000,148345997
16000000,148586910
16000000,148715342
16000000,148826
16000000,148868835
16000000,149022650
16000000,149217355
16000000,149228078
16000000,149270999
16000000,149705852
16000000,149717124
16000000,149804632
16000000,15000000
16000000,15000000
16000000,15000000
16000000,15000000
16000000,15024232
16000000,15037867
16000000,15055091
16000000,15064948
16000000,15091
16000000,15118795
16000000,15126948
16000000,15132211
16000000,15136870
16000000,15137932
16000000,15155021
16000000,15155095
16000000,15156
16000000,15164492
16000000,15171475
16000000,15198
16000000,15198912
16400000,15200000
16500000,15206330
16500000,15297318
16500000,15298355
16500000,15313631
16500000,15318257
16500000,15358583
16500000,15396525
16500000,15434375
16800000,15452978
16800000,15461638
160000,15466961
160000,15468266
160000000,15471229
160000000,15471969
160000000,15473333
160000000,15505922
160000000,15549702
160000000,15600000
160000000,15644196
160000000,15668012
160000000,15680099
160000000,15696146
160000000,15700000
160000000,15716828
163000000,15728335
165000000,15815509
165000000,15826984
165000000,15867314
165000000,15907411
165000000,15911332
165000000,15935068
165000000,15943081
168000,15980376
17000000,150000000
17000000,150191
17000000,150350000
17000000,150422946
17000000,150468000
17000000,150519217
17000000,150562164
17000000,150886329
17000000,151463090
17000000,151496097
17000000,151668774
17000000,151716815
17000000,151947179
17000000,152022333
17000000,152036382
17000000,152266007
17000000,152269033
17000000,152364370
17000000,152449
17000000,152457863
17000000,152500343
17000000,152566881
17000000,152627960
17000000,152925093
17000000,153007424
17000000,153060045
17000000,153535982
17000000,153698625
17000000,153733800
17000000,154017885
17000000,154110769
17000000,154218168
17000000,154338601
17000000,154362963
17000000,155011165
17000000,155056263
17000000,155200000
17000000,155564919
17000000,155708695
17000000,155750628
17000000,155769678
17000000,155931301
17000000,156167015
17000000,156229050
17000000,156362
17000000,156399644
17000000,156553592
17000000,156602194
17300,156612
17500000,156815529
17500000,156822020
17500000,156835197
17500000,156974557
17500000,157002
17500000,157092943
17500000,157670733
17500000,157794205
17500000,157956466
17500000,158185073
17700000,158500000
17900000,158527918
170000,158701644
170000,158702748
170000000,158750817
170000000,158905324
170000000,158908290
170000000,158926474
170000000,159157447
170000000,159356941
170000000,159387195
170000000,159616327
170000000,159691085
170000000,159745279
175000,159762983
175000,159846429
175000,16011975
175000,16017403
175000000,16038343
175000000,16084310
175000000,16118077
175000000,16123323
175000000,16131551
175000000,16137
175000000,16140842
175000000,16149180
175000000,16149791
175000000,16153000
175000000,16157923
175000000,16172200
175000000,16173593
175000000,16173879
178000000,16193713
178000000,16235738
179000000,16295774
18000000,16304786
18000000,16311335
18000000,16316273
18000000,16349034
18000000,16369708
18000000,16382538
18000000,16425701
18000000,16498827
18000000,16510971
18000000,16515203
18000000,16521410
18000000,16553163
18000000,16556
18000000,16566235
18000000,16566240
18000000,16581575
18000000,16585503
18000000,16610760
18000000,16612072
18000000,16628751
18000000,16640210
18000000,16653
18000000,16667084
18000000,16723377
18000000,16727470
18000000,16757163
18000000,16829464
18000000,16830252
18000000,16866928
18000000,16907831
18000000,16909
18000000,16910708
18000000,16951798
18000000,16959614
18000000,16980098
18000000,16988996
18000000,160000000
18000000,160038407
18000000,160247805
18000000,160379930
18000000,160388063
18000000,160502573
18000000,160558438
18000000,160648493
18000000,160700000
18000000,160822438
18000000,160903019
18000000,160971922
18000000,161097
18000000,161510853
18000000,161626121
18000000,161800000
18000000,161838076
18000000,161921515
18000000,161941727
18000000,162605
18000000,162610473
18000000,162738726
18000000,162753837
18000000,162778384
18000000,162838373
18000000,162839667
18000000,162870525
18000000,163018913
18000000,163069
18000000,163126676
18000000,163295654
18000000,163527824
18000000,163644662
18000000,163818556
18000000,163838217
18000000,163876815
18000000,164051250
18000000,164247
18000000,164285587
18000000,164350409
18000000,164539660
18000000,164675402
18000000,164800000
18000000,165048228
18000000,165049
18000000,165103952
18000000,165149302
18000000,165173909
18000000,165334774
18000000,165552290
18000000,165600852
18000000,165889117
18000000,165890634
18000000,165900000
18500000,166000000
18500000,166307945
18500000,166617328
18500000,166842739
18500000,166893990
18500000,167117548
18900000,167297191
18975000,167780960
180000,167791704
180000,167851995
180000000,167918847
180000000,168167798
180000000,168311558
180000000,168832
180000000,168841459
180000000,169173206
180000000,169242
180000000,169296573
185000000,169400000
185000000,169511609
185000000,169590606
185000000,169740988
185000000,169955142
186000000,17000000
187500000,17005466
19000000,17006158
19000000,17023121
19000000,17033431
19000000,17033556
19000000,17061
19000000,17127
19000000,17155193
19000000,17202854
19000000,17216955
19000000,17218916
19000000,17220091
19000000,17220599
19000000,17224539
19000000,17241
19000000,17250101
19000000,17252287
19000000,17292381
19000000,17300838
19000000,17306648
19000000,17322212
19000000,17329337
19000000,17360801
19000000,17378193
19000000,17394881
19000000,17396
19000000,17403168
19000000,17430594
19000000,17433072
19000000,17462398
19100000,17475475
19200000,17489009
19400000,17492014
19500000,17499242
19700000,17503
190000,17536256
190000000,17549645
190000000,17553055
190000000,17561100
190000000,17570324
190000000,17589867
190000000,17639
195000000,17657973
195000000,17684355
195000000,17704131
2000000,17721
2000000,17760244
2000000,17768757
2000000,17804273
2000000,17807569
2000000,17830244
2000000,17856688
2000000,17865209
2000000,17896
2000000,17967746
2000000,17985000
2000000,170200225
2000000,170327930
2000000,170466405
2000000,170549753
2000000,170805525
2000000,170936470
2000000,171269535
2000000,171302226
2000000,171377916
2000000,171484051
2000000,171685793
2000000,171962
2000000,172185754
2000000,172450423
2000000,172543519
2000000,172569
2000000,172825854
2000000,172867
2000000,173044410
2000000,173046663
2000000,173066
2000000,173472
2000000,173559438
2000000,173567581
2000000,173599
2000000,173613
2000000,173613482
2000000,174102281
2000000,174131329
2000000,174201661
2000000,174255
2000000,174463257
2000000,174682
2000000,174810815
2000000,175361578
2000000,175507800
2000000,175516617
2000000,175910315
2000000,176101721
2000000,176262839
2000000,176469428
2000000,176885658
2000000,177012173
2000000,177025498
2000000,177200000
2000000,177241171
2000000,177344230
2000000,177507
2000000,177512032
2000000,177535958
2000000,177835231
2000000,177993801
2000000,178066569
2000000,178095
2000000,178100000
2000000,178200000
2000000,178287
2000000,178710620
2000000,178890782
2000000,179209685
2000000,179265204
2000000,179357126
2000000,18016290
2000000,18090181
2000000,18110152
2000000,18115927
2000000,18120267
2000000,18190831
2000000,18195238
2000000,18209872
2000000,18225165
2000000,18250106
2000000,18260865
2000000,18273009
2000000,18301418
2000000,18309793
2000000,18310591
2000000,18329653
2000000,18344729
2000000,18376443
2000000,18400000
2000000,18423914
2000000,18495444
2000000,18496522
2000000,18504539
2000000,18517322
2000000,18524496
2000000,18527766
2000000,18535575
2000000,18552460
2000000,18582965
2000000,18608570
2000000,18642318
2000000,18653615
2100000,18673274
2100000,18708848
2100000,18726300
2100000,18733666
2100000,18765585
2100000,18802255
2100000,18823
2100000,18826490
2100000,18828036
2150000,18856151
2160000,18872126
2160000,18959424
2200000,18991288
2200000,180047784
2200000,180148897
2200000,180188905
2250000,181025343
2280000,181038616
2300000,181041
2300000,181053657
2300000,181185387
2300000,181457297
2300000,181489203
2300000,181674817
2300000,181798
2300000,181982519
2361000,182156
2380000,182291969
2400000,182358
2400000,182365114
2400000,182695
2400000,182782518
2400000,183097323
2450000,183124621
2500000,183316455
2500000,183354514
2500000,184068357
2500000,184075552
2500000,184255
2500000,184705
2500000,184925485
2500000,185400000
2500000,185577
2500000,185708462
2500000,185798265
2500000,185904750
2500000,186049020
2500000,186450317
2500000,186883563
2500000,187281115
2500000,187384627
2500000,187500000
2500000,187707495
2500000,187995859
2500000,188536838
2500000,188657593
2500000,188715611
2500000,189176423
2500000,189624452
2500000,189800000
2500000,189922583
2500000,19000000
2500000,19014238
2500000,19035741
2500000,19054534
2500000,19080435
2500000,19121531
2500000,19123851
2500000,19153568
2500000,19170001
2500000,19174817
2500000,19184820
2500000,19233280
2540000,19282590
2600000,19287485
2600000,19288130
2600000,19317765
2600000,19344615
2600000,19379463
2600000,19417182
2600000,19421271
2600000,19438638
2600000,19450780
2600000,19472057
2627000,19535005
2650000,19548419
2660000,19563579
2686000,19571091
2700000,19585
2700000,19599974
2700000,19600000
2700000,19637147
2700000,19685588
2750000,19693891
2777000,19716
2800000,19739000
2800000,19756077
2800000,19800
2800000,19860259
2800000,19870567
2850000,19875
2883848,19891331
2900000,19892205
2900000,19910624
2900000,19929123
2900000,19947280
2900000,190191646
2900000,190212113
20000,190320568
20000,191091250
20000,191200000
20000000,191200000
20000000,191502246
20000000,191862
20000000,191932158
20000000,192903624
20000000,193500000
20000000,193737977
20000000,193857962
20000000,194058503
20000000,194169619
20000000,194183034
20000000,194568
20000000,194995215
20000000,195043
20000000,195111193
20000000,195254
20000000,195300000
20000000,195660942
20000000,196067
20000000,196090
20000000,196308367
20000000,196320329
20000000,196439693
20000000,196565669
20000000,196857
20000000,197232734
20000000,197242826
20000000,197593152
20000000,197618160
20000000,197687603
20000000,197692062
20000000,198006880
20000000,198750909
20000000,198883
20000000,199043309
20000000,2000000
20000000,2000000
20000000,2000000
20000000,2000000
20000000,2000000
20000000,2000000
20000000,2000093
20000000,2013052
20000000,2022442
20000000,2025032
20000000,2041928
20000000,2046090
20000000,2047570
20000000,2053330
20000000,2058662225
20000000,2062406
20000000,2066892
20000000,2077844
20000000,2080693
20000000,2082980
20000000,2102779
20000000,2104164
20000000,2104439
20000000,2105
20000000,2108367
20000000,2110050
20000000,2119994
20000000,2120439
20000000,2124005
20000000,2141436
20000000,2151887
20000000,2154540
20000000,2165637
20000000,2194020
20000000,2199
20000000,2200000
20000000,2207615668
20000000,2221994
20000000,2226603
20000000,2243
20000000,2246000
20000000,2255000
20000000,2256606
20000000,2272186
20000000,2275557
20000000,2279959
20000000,2281000
20000000,2281089
20000000,2282710
20000000,2300000
20000000,2301777
20000000,2315000
20000000,2315026
20000000,2326407
20000000,2335352
20000000,2350641
20000000,2368937
20000000,2373937
20000000,2380606
20000000,2401413
20000000,2404639
20000000,2406666
20000000,2412123
20000000,2419669
20000000,2430735
20000000,2436
20000000,2436111
20000000,2461628
20000000,2476491
20000000,2477155
20000000,2481925
20000000,2483790
20000000,2500000
20000000,2500000
20000000,2507159
20000000,2509344
20000000,2522928
20000000,2525984
